State,APMC,Commodity,Min Price,Modal Price,Max Price,Commodity Arrivals,Commodity Traded,Unit,Date
HARYANA,DABWALI,ONION,"3,500","3,500","3,500",175,175,Qui,23-09-2024
PUNJAB,MALERKOTLA,POTATO,360,850,850,175,175,Qui,23-09-2024
RAJASTHAN,CHOMU F AND V,CHILLIES,"4,050","4,050","4,050",74,175,Qui,23-09-2024
TAMIL NADU,ODDANCHATRAM,MAIZE,"2,400","2,400","2,400",175,175,Qui,23-09-2024
UTTAR PRADESH,SHAHJAHANPUR,POTATO,"1,920","1,920","1,920",175,175,Qui,23-09-2024
MADHYA PRADESH,DEWAS,SOYA-YELLOW,"4,472","4,485","4,603",205,174,Qui,23-09-2024
UTTARAKHAND,NANAKMATTA,MUSTARD,"5,800","5,800","5,800",174,174,Qui,23-09-2024
HARYANA,SONEPAT,ONION,"3,000","4,200","4,500",173,173,Qui,23-09-2024
TAMIL NADU,VILLUPURAM,MAIZE,"2,289","2,439","2,439",217,173,Qui,23-09-2024
RAJASTHAN,JAIPUR F AND V MUHANA,MAIZE,"2,000","2,800","2,800",0,172,Qui,23-09-2024
RAJASTHAN,NADBAI,WHEAT,"2,575","2,645","2,677",171,171,Qui,23-09-2024
TAMIL NADU,JEYANKONDAM,MAIZE,"2,322","2,412","2,412",177,171,Qui,23-09-2024
HARYANA,RAIPUR RANI APMC,BOTTLE GOURD,8,8,8,170,170,Kg,23-09-2024
ODISHA,BONAI,CUCUMBER,"2,200","2,200","2,200",170,170,Qui,23-09-2024
JAMMU AND KASHMIR,HANDWARA,APPLE,"4,300","4,300","4,300",169,169,Qui,23-09-2024
MADHYA PRADESH,KRISHI UPAJ MANDI SAMITI-KHURAI,MASOOR,"5,770","5,946","6,396",185,169,Qui,23-09-2024
RAJASTHAN,CHOMU F AND V,PUMPKIN,"1,050","1,050","1,050",0,169,Qui,23-09-2024
RAJASTHAN,SIKAR,SQUASH,500,800,900,49,169,Qui,23-09-2024
RAJASTHAN,SUMERPUR,CASTOR SEED,"6,052","6,118","6,118",169,169,Qui,23-09-2024
CHHATTISGARH,RAJNANDGAON,SOYABEANS,"4,185","4,550","4,550",195,168,Qui,23-09-2024
GUJARAT,AMRELI,GROUND NUT,"3,800","4,605","5,605",682,168,Qui,23-09-2024
UTTAR PRADESH,NAWABGANJ APMC,WHEAT,"2,600","2,610","2,610",168,168,Qui,23-09-2024
HARYANA,HISAR APMC,MUSTARD,"5,050","5,220","5,220",0,167,Qui,23-09-2024
